"id","artwork_title","start_year","end_year","Esfera","Caixa","Argolas","Trilho","Taça","Taça_quebrada","Desenho/Fotografia","Cachimbo","Tabela_astronômica","Palavras","Caixa_dentro_da_caixa","Pássaro","Concha","Pedaços_de_madeira","Colagem","Espiral","Gradil/Compartimentação","Gaveta","Relógio/Bússola","Hotel","Areia","Pilar","Grade_de_arame","Médici","Frascos","Dispensador_de_areia","Boneca","Cubos_de_vidro","Folhas/pétalas"
154,"""Untitled_(Hôtel_de_la_Duchesse-Anne),_1957",1957,1958,1,1,1,1,,,,,,,,1,,,1,1,1,,,,,1,,,,,,,
155,"Celestial_Navigation",1958,1958,1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,
156,"Soap_Bubble_Set_(Ostend_Hotel)",1958,1958,1,1,1,1,,1,,1,,1,,,,1,,,,,,,,,,,,,,,
157,"Untitled_(Constellation)",1958,1958,1,1,1,1,1,,1,,1,,1,,,1,,,,,,,,,,,,,,,
158,"Untitled_(Sun_Box)",1958,1958,1,1,1,1,,,1,,,,,,,1,,,,,,,,,,,,,,,
159,"Untitled_(Juan_Gris_Series)",1958,1958,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,
160,"Magical_Space-Object_Box",1958,1958,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
161,"Untitled",1959,1959,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
162,"Soap_Bubble_Set_(Lunar-Space_Object)",1959,1960,1,1,1,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,
163,"Hotel_de_l’Ocean",1959,1959,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,
164,"Sun_Box",1960,1960,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
165,"The_Birth_of_the_Nuclear_Atom",1960,1960,1,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,
166,"untitled_(Canis_Major_constellation)",1960,1960,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,
