"id_doc","type","name","place","date","link"
819,"Others","Invoice from Walter Pach for ""Portrait of Chess Players"" by Marcel Duchamp","Duchamp Archives","1950/July/3","https://www.duchamparchives.org/pma/archive/component/WLA_B028_F020_001"
820,"Others","Memorandum from R. Sturgis Ingersoll to Fiske Kimball","Duchamp Archives","1954/March/30","https://www.duchamparchives.org/pma/archive/component/FKR_B181_F001_030"
821,"Others","Memorandum from Henri Marceau to Henry Clifford and Gertrude Toomey","Duchamp Archives","1960/April/20","https://www.duchamparchives.org/pma/archive/component/MAR_B055_F006_005"
822,"Photography","Marcel Duchamp et Hans Richter","Duchamp Archives","1952/May/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits2_no.077"
823,"Photography","Marcel Duchamp playing chess with Raoul De Roussy de Sales","Duchamp Archives","1924/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B034_F033_001"
824,"Photography","Marcel Duchamp, Frederick Kiesler, et Enrico Donati","Duchamp Archives","1952/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits2_no.087"
825,"Photography","Jean Crotti, Suzanne Duchamp, Pablo Picasso, Michel Corlin, Germaine Everling, and Francis Picabia à la plage","Duchamp Archives","1925/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.168"
826,"Photography","Marcel Duchamp, Alexina Duchamp, and John Cage playing chess at the Reunion Concert","Duchamp Archives","1968/March/5","https://www.duchamparchives.org/pma/archive/component/MDP_B034_F003_13-1972-9-178"
827,"Photography","Jacqueline Matisse-Monnier, Alexina Duchamp, Bernard Monnier, and Marcel Duchamp with chessboard in foreground","Duchamp Archives","1963/July/29","https://www.duchamparchives.org/pma/archive/component/MDP_B034_F032_001"
828,"Photography","Marcel Duchamp, Hans Richter and Max Ernst","Duchamp Archives","1953/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B031_F003_13-1972-9-088"
829,"Photography","Marcel Duchamp with group of friends in New York","Duchamp Archives","1944/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B030_F030_13-1972-9-093"
830,"Photography","Louise and Walter Arensberg with Yvonne Crotti on an outing to Katherine Dreier's Connecticut home","Duchamp Archives","1918/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B030_F022_13-1972-9-197"
831,"Photography","Marcel Duchamp et Edgar Varèse [?]","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDBoiteMoyenne1_no.045"
832,"Photography","Marcel Duchamp et Jacqueline Matisse Monnier","Duchamp Archives","1952/May/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDBoiteMoyenne1_no.082"
833,"Photography","Marcel Duchamp, James Johnson Sweeney, and an unidentified man at the Philadelphia Museum of Art for NBC televised interview","Duchamp Archives","1955/July/-","https://www.duchamparchives.org/pma/archive/component/MDP_B033_F008_13-1972-9-271"
834,"Letter","Lettre de Walter Pach à Duchamp-Villon à propos de l'Armory Show (21 février 1913).","Duchamp Archives","1913/-/-","https://www.duchamparchives.org/cp/archive/component/FRM5050-X0031147538"
835,"Photography","Marcel Duchamp et Eve Babitz","Duchamp Archives","1963/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits3_no.195"
836,"Photography","Paul Matisse, Georges Matisse, et Marcel Duchamp","Duchamp Archives","1963/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits3_no.197"
837,"Photography","Jacques Villon, Monsieur and Madame Bon, Raymond and Yvonne Duchamp-Villon, and Gaby Villon","Duchamp Archives","1915/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B034_F030_001"
838,"Photography","Jean Crotti, Olga Khokhlova, Suzanne Duchamp, Michel Corlin, Germaine Everling, et Francis Picabia à la plage","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.121"
839,"Photography","Jacques Villon, Jean Crotti, Yvonne Duvernoy, Colette de Ginestet, Yves Alix, et M. Duvernoy","Duchamp Archives","1956/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD2_no.298"
840,"Photography","Louise Arensberg, Marcel Duchamp, Gabrielle Buffet-Picabia, Beatrice Wood[?], Henri Pierre Roche, Sophie Treadwell, and Allen Norton","Duchamp Archives","1917/-/-","https://www.duchamparchives.org/pma/archive/component/WLA_B050_F011_001"
